"","Ad1","Ad2","Ad3","Ad1 CD3CD28","Ad2 CD3CD28","Ad3 CD3CD28"
"XLOC_000028",4,2,8,1,5,2
"XLOC_000043",40,40,38,22,30,34
"XLOC_000047",7,4,2,2,5,0
"XLOC_000055",0,0,0,0,0,0
"XLOC_000060",50,40,59,28,31,53
"XLOC_000061",5,5,5,4,6,7
"XLOC_000062",3,7,3,2,2,3
"XLOC_000077",126,98,132,86,89,58
"XLOC_000170",10,4,0,4,4,0
"XLOC_000188",4,11,8,6,8,14
"XLOC_000210",25,15,26,12,10,10
"XLOC_000211",1,6,2,1,3,1
"XLOC_000212",3,0,2,1,0,1
"XLOC_000213",2,1,0,1,2,1
"XLOC_000214",2,2,0,1,1,2
"XLOC_000241",1,0,1,0,0,0
"XLOC_000256",1,0,0,1,0,0
"XLOC_000318",0,0,0,0,1,0
"XLOC_000337",0,0,0,0,0,0
"XLOC_000357",14,0,0,15,0,0
"XLOC_000358",11,2,3,12,0,1
"XLOC_000359",8,0,0,11,0,0
"XLOC_000362",1,0,1,0,1,1
"XLOC_000363",3,1,3,1,0,3
"XLOC_000382",4,3,0,6,6,1
"XLOC_000383",4,0,0,3,3,2
"XLOC_000384",3,2,0,2,3,1
"XLOC_000385",3,3,0,2,4,2
"XLOC_000397",1,1,1,1,0,2
"XLOC_000405",15,16,25,7,14,20
"XLOC_000406",0,0,0,0,0,0
"XLOC_000407",17,26,32,6,24,15
"XLOC_000448",7,1,3,7,8,1
"XLOC_000449",0,1,0,0,0,1
"XLOC_000471",7,13,4,4,1,0
"XLOC_000485",17,9,9,4,17,2
"XLOC_000560",2,1,1,4,2,3
"XLOC_000567",4,5,3,8,3,2
"XLOC_000568",5,7,2,3,7,3
"XLOC_000569",26,20,32,14,24,11
"XLOC_000570",1,2,0,3,2,2
"XLOC_000571",3,9,9,4,1,1
"XLOC_000602",0,0,0,0,0,0
"XLOC_000610",0,0,3,0,0,0
"XLOC_000611",0,0,0,0,0,0
"XLOC_000637",0,1,2,1,1,2
"XLOC_000697",0,0,0,1,0,0
"XLOC_000715",0,0,0,0,0,0
"XLOC_000723",85,111,106,96,100,72
"XLOC_000775",3,1,8,2,5,2
"XLOC_000845",1,1,3,0,0,1
"XLOC_000850",0,0,0,0,1,0
"XLOC_000853",2,2,2,1,0,0
"XLOC_000890",1,4,6,1,2,0
"XLOC_000897",32,16,30,24,14,24
"XLOC_000921",2,2,0,1,0,0
"XLOC_000922",2,0,1,4,6,2
"XLOC_000923",0,1,0,1,0,0
"XLOC_000944",6,3,3,4,3,0
"XLOC_000958",18,1,4,7,2,0
"XLOC_000980",8,4,3,4,7,2
"XLOC_000981",0,1,0,0,0,0
"XLOC_000986",3,3,1,12,20,11
"XLOC_000988",1,0,0,8,9,18
"XLOC_000989",0,0,1,4,3,10
"XLOC_001015",0,0,0,0,0,0
"XLOC_001054",4,3,1,6,5,6
"XLOC_001100",5,0,5,5,5,6
"XLOC_001104",17,11,21,10,10,11
"XLOC_001122",0,0,0,1,0,3
"XLOC_001129",0,0,0,0,0,0
"XLOC_001133",0,2,2,3,10,5
"XLOC_001143",2,7,6,4,6,3
"XLOC_001144",0,0,0,0,0,0
"XLOC_001178",0,0,0,0,0,0
"XLOC_001191",0,0,1,1,1,0
"XLOC_001231",7,17,13,7,12,6
"XLOC_001239",0,0,0,0,0,0
"XLOC_001241",0,0,0,0,0,0
"XLOC_001245",7,7,2,6,9,5
"XLOC_001246",50,46,42,10,37,28
"XLOC_001248",0,3,0,0,1,0
"XLOC_001249",1,0,0,0,0,1
"XLOC_001271",3,3,2,1,3,2
"XLOC_001303",10,9,8,0,3,3
"XLOC_001304",4,4,4,0,2,0
"XLOC_001305",8,13,6,2,3,2
"XLOC_001306",4,4,2,0,0,1
"XLOC_001328",65,52,66,28,44,15
"XLOC_001329",145,65,106,42,83,38
"XLOC_001332",2,0,0,1,0,0
"XLOC_001347",11,8,8,7,10,4
"XLOC_001367",0,1,0,0,0,0
"XLOC_001372",5,1,1,1,1,1
"XLOC_001389",1,0,0,0,0,0
"XLOC_001403",0,0,0,0,0,0
