"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"1"	"SE_ADULTOS"	"GO:0061448"	"connective tissue development"	"18/293"	"285/18870"	5.4916459957735e-07	0.00187759376595496	0.00170645673468667	"4774/3570/57326/8609/7476/5593/7045/1302/5467/55790/6653/7480/30812/7067/9241/8313/5155/89766"	18
"2"	"ES_Adultos"	"GO:0006260"	"DNA replication"	"79/1136"	"278/18870"	1.89557972507542e-32	9.86824536936813e-29	7.68918683509531e-29	"378708/4678/4998/51514/6241/348654/4175/580/10293/10721/4171/5984/604/890/51053/3159/4172/5558/253714/6119/5982/4176/157570/84296/4173/9134/79075/4796/9401/80010/6240/79733/374393/2237/23649/10714/1111/55388/983/1763/5763/57379/1017/8914/144455/5985/8099/675/5983/5427/11169/5888/1854/9768/80119/54962/90381/641/116028/23594/64785/51659/81620/79915/990/672/146956/7083/10189/201254/5932/10036/4784/898/10856/8318/4174/29980/8208"	79
"3"	"ES_Adultos"	"GO:0006261"	"DNA-templated DNA replication"	"60/1136"	"161/18870"	3.70986668021358e-32	9.86824536936813e-29	7.68918683509531e-29	"378708/4998/348654/4175/580/10293/10721/4171/5984/604/51053/3159/4172/5558/253714/5982/4176/84296/4173/9134/79075/4796/9401/6240/79733/2237/23649/10714/55388/1763/57379/1017/8914/144455/5985/8099/675/5983/5427/11169/5888/54962/90381/641/23594/64785/51659/81620/79915/990/672/146956/7083/10189/201254/5932/898/8318/4174/29980"	60
"4"	"ES_Adultos"	"GO:0007059"	"chromosome segregation"	"97/1136"	"424/18870"	3.36073631074933e-31	5.95970572439548e-28	4.64371213744943e-28	"378708/55143/991/11004/6491/84722/83540/259266/9928/4751/1063/348654/79172/23397/699/57405/51776/57520/151246/55355/151648/4292/5359/10051/1894/64151/1062/4085/84057/79682/9319/891/64946/9232/203068/3833/55166/7272/387103/54892/157313/157570/2669/9134/401541/10592/10783/81930/113130/11130/983/3832/4288/29127/9700/79023/9735/5901/221150/440145/9787/8110/7517/701/90417/57082/11339/51203/9133/55055/9493/9055/116028/5347/55839/81620/83903/9212/10615/990/7153/29893/7283/672/146909/3837/348235/83990/332/201254/10403/220134/147841/256126/898/11144/79019"	97
"5"	"ES_Adultos"	"GO:0000280"	"nuclear division"	"93/1136"	"441/18870"	4.31561851648171e-27	5.73977262692068e-24	4.472343609975e-24	"378708/2827/55143/991/11004/8438/84722/83540/259266/9928/4751/1063/348654/23397/699/57405/151648/4292/10051/64151/1062/4085/84057/9319/891/995/9232/7124/3833/7272/54443/54892/157313/9134/286151/80010/1164/10592/81930/113130/1111/84930/11130/983/3832/4288/10635/29127/9700/3479/9735/5901/675/440145/10419/9787/3306/7517/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/5347/55512/81620/2175/83903/9212/10615/7153/29893/7283/146909/3837/146956/83990/8877/332/201254/10403/147841/256126/898/27338/5902/3976/11144"	93
"6"	"ES_Adultos"	"GO:1901987"	"regulation of cell cycle phase transition"	"94/1136"	"456/18870"	1.36865933285695e-26	1.45625353015979e-23	1.13469062164014e-23	"26270/63967/55143/991/6491/1031/4998/4582/83540/9928/8444/25896/51514/1063/3398/6241/348654/699/57405/51776/57520/580/993/83666/151636/1062/4085/9319/7015/891/995/8870/1026/7272/54443/1021/2146/1029/10783/6240/7465/113130/595/5962/1111/11130/983/1763/894/9700/1017/79035/8914/1019/144455/9735/675/7027/5720/5721/9787/4331/3306/8110/7517/701/57082/5888/79968/54962/55055/1543/90381/641/9088/5347/81620/83903/9212/79915/990/672/146956/83990/332/10403/5932/596/147841/25959/22809/8318/51512/29980"	94
"7"	"ES_Adultos"	"GO:0048285"	"organelle fission"	"97/1136"	"488/18870"	3.86926230103068e-26	3.43074590691387e-23	2.67318507744892e-23	"378708/2827/55143/991/11004/8438/84722/83540/259266/9928/4751/1063/348654/23397/699/57405/151648/4292/10051/64151/1062/4085/84057/9319/891/995/9232/7124/3833/7272/113115/54443/54892/157313/9134/286151/80010/1164/10592/81930/113130/1111/84930/11130/983/3832/4288/10635/29127/9700/3479/23603/9735/5901/675/440145/10419/9787/3306/7517/701/90417/57082/5888/51203/9133/55055/9493/9055/9088/5347/55512/81620/2175/83903/9212/10615/80179/7153/29893/7283/146909/3837/146956/83990/8877/332/201254/10403/147841/256126/898/27338/5902/3976/51537/11144"	97
"8"	"ES_Adultos"	"GO:0044772"	"mitotic cell cycle phase transition"	"94/1136"	"470/18870"	1.46311415066952e-25	1.11196675450883e-22	8.66427597794972e-23	"1870/63967/55143/991/6491/1031/4998/1163/4582/128239/83540/9928/51514/1063/3398/6241/348654/699/57405/51776/57520/580/993/1062/4085/890/9319/7015/891/995/8870/1026/7272/54443/1021/2146/1978/9134/1029/9833/1164/10783/6240/7465/113130/595/5962/1111/84930/11130/983/2305/894/586/9700/1017/79035/1019/144455/9735/7027/5720/5721/1033/9787/4331/3306/8110/7517/701/57082/9133/55055/1543/90381/641/899/9088/5347/83903/9212/79915/990/672/332/10403/5932/596/147841/25959/898/27338/51512/29980"	94
"9"	"ES_Adultos"	"GO:0098813"	"nuclear chromosome segregation"	"74/1136"	"312/18870"	4.91315519170354e-25	3.26724820248285e-22	2.54579015064849e-22	"55143/991/11004/84722/83540/259266/9928/4751/1063/348654/23397/699/57405/51776/57520/151648/4292/10051/1894/64151/1062/4085/84057/9319/891/9232/3833/55166/7272/54892/2669/9134/10592/10783/81930/113130/11130/983/3832/29127/9700/9735/5901/440145/9787/8110/7517/701/90417/57082/51203/9133/55055/9493/9055/116028/5347/81620/83903/9212/10615/990/7153/29893/7283/146909/3837/83990/332/10403/147841/256126/898/11144"	74
"10"	"ES_Adultos"	"GO:0000075"	"cell cycle checkpoint signaling"	"57/1136"	"192/18870"	9.06415470869491e-25	5.35792256113966e-22	4.1748118412679e-22	"26270/63967/55143/991/4998/4582/83540/25896/51514/1063/348654/699/57405/51776/580/83666/151636/4085/9319/891/8870/1026/7272/595/1111/11130/983/1763/1017/79035/8914/9735/675/7517/701/57082/5888/79968/54962/55055/90381/641/5347/81620/83903/9212/990/672/146956/83990/332/10403/5932/147841/8318/51512/29980"	57
