gene	logFC	logCPM	PValue	FDR
1	SMC4	-2.60983221642488	8.61536428835363	2.00313916419489e-44	2.53537324012148e-40
2	MID2	6.91327502182462	2.40555452272714	9.12517674475367e-32	5.77486810291736e-28
3	SELENOM	3.42723742942712	4.43371521860952	4.55545627167265e-29	1.92194700101869e-25
4	AUTS2	-3.95737540948481	7.01828127946742	7.7952984395146e-27	2.46662730872341e-23
5	CDCA7	-3.6219230920266	4.78707032579054	1.18525925824736e-26	3.00036528632736e-23
6	KIF21A	3.86328453934248	3.32125185028285	3.04278673615838e-26	6.41875861992611e-23
7	CACNA1I	2.64792559536433	7.87399861349379	1.81965324611871e-25	3.29019301944636e-22
8	CDC14B	3.6098857772449	4.30563808063484	2.4726906388829e-25	3.91210567704261e-22
9	RAB11FIP5	3.24040607274062	4.33585483460164	2.7605980326236e-24	3.88232103321299e-21
10	ZNF154	-2.56837342532768	5.38293642966834	8.34913533169547e-24	1.0567500589327e-20
11	RADX	3.98497430258659	2.90610708603928	1.27261818204088e-23	1.46432075728104e-20
12	HPGD	-3.94621774122592	3.56579902493231	2.15590782690237e-23	2.27394378042528e-20
13	BCL11A	-4.39552423284862	5.74434245610442	2.03341887177037e-22	1.97976789692289e-19
14	ARHGAP32	-2.07703301384582	5.94090765658745	1.42689053922789e-21	1.29001096821481e-18
15	MPP2	4.56772889315505	2.90960713151076	4.66245466962772e-21	3.93417925023187e-18
16	KIAA0408	8.21128911948993	1.26950904098501	8.69074399689554e-21	6.87492167304418e-18
17	FCHSD1	2.53068252713301	6.26091153019141	1.37497112253008e-19	1.02370644105077e-16
18	SERPINF1	-3.58651424125614	5.74157996796335	1.34086505351816e-18	9.42851610132184e-16
19	ZBTB38	2.51455556452149	5.77020729439719	1.45719985849755e-17	9.70725189947551e-15
20	PRRT1	3.0126682197337	3.25316634085638	1.67161874150531e-17	1.05788392056163e-14
21	DNAJC14	-8.90882179167534	0.711072164064788	2.79009109293132e-17	1.68162776015389e-14
22	IGF2BP3	-3.92733918322134	3.39209390845979	3.0762959553156e-17	1.73185363861904e-14
23	RIC3	3.35124563339948	4.68223684427348	3.14708332845366e-17	1.73185363861904e-14
24	ACSL6	1.6519586186483	6.10410240937455	3.44489723386132e-17	1.79647735674455e-14
25	TSHZ2	5.05671937735358	2.03938372914123	3.54838697310688e-17	1.79647735674455e-14
26	SLC45A1	6.20909210066197	0.372699779806993	7.85175224751718e-17	3.82229339218558e-14
27	LONRF3	6.31556223851376	0.754564258927277	1.80129650609435e-16	8.44407773245782e-14
28	KIF5C	4.42408623807689	3.04860282113185	1.86975299507232e-16	8.45195130665368e-14
29	ANKRD18A	3.63896624980768	2.42099564438043	2.46278947351845e-16	1.07488021952838e-13
30	YBX3	-2.19742679875819	5.70084154457774	3.19323807502456e-16	1.34722714385286e-13
31	PLEKHB1	2.12068305039436	6.4898949580299	9.75284967231217e-16	3.98199413878887e-13
32	CAMK2N1	7.90555974026499	0.209104265196422	1.10314645400264e-15	4.36328895884733e-13
33	SLC25A4	4.50456330629545	2.26473998830546	3.14825990545295e-15	1.20750077646418e-12
34	IFNE	5.98914019308452	0.211609868227856	5.06926953899226e-15	1.88711013397133e-12
