logFC	logCPM	PValue	FDR
NFKB2	1.85979256017978	8.00077666141412	1.3433731226731e-16	1.78424069980385e-12
BCL6	2.5797054718158	5.38119874001449	1.43896181281814e-16	1.78424069980385e-12
NR4A1	4.28253379455074	3.4655568064503	1.23587191711281e-15	1.02161292241602e-11
P2RX7	3.30104347585768	5.77138070938576	1.6610338976898e-15	1.02979949072023e-11
IRF4	3.88595385186173	7.46296632331294	4.62496615786472e-15	2.29389071497774e-11
IL2RA	2.38345742256878	4.77684632538349	2.57786152500606e-13	9.9062615786373e-10
SECTM1	3.44890065071808	3.7939299915783	2.79623497118678e-13	9.9062615786373e-10
STAT1	4.78701917529746	10.3816664205043	1.23640293584912e-12	3.8326945507653e-09
CXCL9	8.54405978703325	2.45895181149454	1.87287434429133e-12	5.16060120712008e-09
BCL3	2.79437569864842	3.49112031653355	3.59236782341458e-12	8.90871296528581e-09
RELB	2.46958000049438	6.49616324159084	6.7495314046889e-12	1.52165117549891e-08
SREBF1	1.56248149929944	6.1376218994838	7.646305034086e-12	1.58017265450249e-08
IRF1	3.21673617302965	9.24289867392759	2.34388170346979e-11	4.47122479725749e-08
PIM2	1.83434051392081	7.54085661540115	2.98454740210555e-11	5.28669935891539e-08
SEPTIN7-DT	-5.85798872490414	-0.577006062064514	3.78370899693882e-11	6.25547996100572e-08
CSF1	2.90393755300692	3.54038711892007	8.35162984619691e-11	1.29445042847398e-07
BATF	2.11330781469624	4.32991403566261	1.70742758621392e-10	2.49073510061877e-07
CXCL10	12.788207226173	3.69168851920595	2.36058819985671e-10	3.21661422773842e-07
GBP2	3.05585127567432	10.0062907179305	2.46444091806242e-10	3.21661422773842e-07
PARP9	3.30940728938824	7.98159457460733	1.51566548994038e-09	1.87934942425157e-06
GBP1	4.18493521208986	9.57414057554567	3.55422390498735e-09	4.17030398052488e-06
LAIR1	-1.17219399991373	5.54838531430187	3.69961238644894e-09	4.17030398052488e-06
TNFRSF4	3.39625510529004	4.25097366062288	3.89561974424833e-09	4.20032495815715e-06
LIF	4.41135646443971	0.968626416635379	4.14357777581968e-09	4.28152438593968e-06
SBNO2	1.79076015872777	6.99816450645098	8.3044974251222e-09	8.17578599234992e-06
IRF9	1.55974104132236	7.53256831567823	8.57173417480939e-09	8.17578599234992e-06
ICAM1	3.68904098002722	5.10519510147836	1.16939023150302e-08	1.07406327226086e-05
GBP5	4.92119012421254	10.412930482354	1.23903009096757e-08	1.09738240092517e-05
PELI1	1.4163245200568	6.10963695830151	1.94252628646038e-08	1.65310010488047e-05
PMAIP1	2.25166806225039	3.75027651036689	2.05216963148809e-08	1.65310010488047e-05
TCAF2	2.48560287393858	6.58110852858119	2.06645845603834e-08	1.65310010488047e-05
VMP1	1.48818174235875	5.81873847893726	2.9133299311406e-08	2.25773965507361e-05
APOBR	-1.17417672836084	4.57346870738753	4.10044329325561e-08	3.08142100695291e-05
WARS1	2.02912273013311	5.85017912671567	4.91204832534811e-08	3.50731376011501e-05
DPEP2	-1.11739985677929	6.67571484037154	4.95003756619321e-08	3.50731376011501e-05
UBE2L6	2.13295075111654	7.35386057582404	5.86236501301723e-08	4.03835527660595e-05
TNFAIP3	1.37181068272922	7.64974323357156	6.12137377973083e-08	4.10280941523094e-05
ZC3H12A	1.13518891804648	5.62082706405102	6.7808729253017e-08	4.42523335985676e-05
C17orf49	1.86045549649626	6.06180456703009	7.42194358781034e-08	4.71940459061817e-05
TSPOAP1-AS1	0.953143223385451	6.73552406223187	7.88566125062779e-08	4.88891283385797e-05
CASP4LP	3.11582318762964	4.00616582839166	8.69930442863841e-08	5.22831537108096e-05
EGR1	4.52724784448873	2.82677659548471	8.85476211078674e-08	5.22831537108096e-05
ZC3H12D	1.05862879351596	6.86873826109211	1.06802684080672e-07	6.08447800363977e-05
SGK1	2.89550717665103	4.31388759688989	1.07954769208496e-07	6.08447800363977e-05
NFE2L3	1.13229763229702	5.39748431338714	1.17546269511272e-07	6.47784430580006e-05
CSF2	7.42087344854171	2.22419650514803	1.21307445685432e-07	6.53978988163703e-05
HAPLN3	1.97977151029089	8.47459976796944	1.45698684983529e-07	7.68762061469474e-05
RGS16	3.64472879343219	2.42194140592825	1.51605807420514e-07	7.83265087129441e-05
TNFRSF9	4.93825364171645	2.98186765237586	1.64336357000576e-07	8.12019613660934e-05
EPSTI1	3.2840421842939	6.27394519277611	1.65821995957003e-07	8.12019613660934e-05
CR1	-1.66850260141066	3.6128141612077	1.66994638076969e-07	8.12019613660934e-05
IL2	4.78180397343535	1.13929493914386	1.74065915304431e-07	8.23882343944848e-05
