"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"1"	"Neonatos"	"GO:0006007"	"glucose catabolic process"	"6/356"	"27/18870"	9.15288102414215e-06	0.0142844126955921	0.0132599549136124	"3099/2023/5230/4041/7167/5214"	6
"2"	"Neonatos"	"GO:0006735"	"NADH regeneration"	"5/356"	"18/18870"	1.62646315919067e-05	0.0142844126955921	0.0132599549136124	"3099/2023/5230/7167/5214"	5
"3"	"Neonatos"	"GO:0061621"	"canonical glycolysis"	"5/356"	"18/18870"	1.62646315919067e-05	0.0142844126955921	0.0132599549136124	"3099/2023/5230/7167/5214"	5
"4"	"Neonatos"	"GO:0061718"	"glucose catabolic process to pyruvate"	"5/356"	"18/18870"	1.62646315919067e-05	0.0142844126955921	0.0132599549136124	"3099/2023/5230/7167/5214"	5
"5"	"Neonatos"	"GO:0060216"	"definitive hemopoiesis"	"5/356"	"20/18870"	2.85306816547653e-05	0.0167047141088651	0.0155066757485023	"2624/3205/7010/6886/4211"	5
"6"	"Neonatos"	"GO:0061620"	"glycolytic process through glucose-6-phosphate"	"5/356"	"20/18870"	2.85306816547653e-05	0.0167047141088651	0.0155066757485023	"3099/2023/5230/7167/5214"	5
"7"	"Neonatos"	"GO:0006096"	"glycolytic process"	"9/356"	"89/18870"	4.61187932944922e-05	0.023145045834793	0.0214851160340356	"3643/3099/3939/2023/5230/863/7167/2821/5214"	9
"8"	"Neonatos"	"GO:0016052"	"carbohydrate catabolic process"	"12/356"	"163/18870"	6.39658285230526e-05	0.0280889944501855	0.0260744916795285	"3643/3099/3939/2023/5230/4041/863/5836/7167/2821/5214/5500"	12
"9"	"Neonatos"	"GO:0061615"	"glycolytic process through fructose-6-phosphate"	"5/356"	"24/18870"	7.35089963298946e-05	0.028352968046681	0.0263195334647603	"3099/2023/5230/7167/5214"	5
"10"	"Neonatos"	"GO:0006090"	"pyruvate metabolic process"	"10/356"	"118/18870"	8.07087049435838e-05	0.028352968046681	0.0263195334647603	"3643/3099/3939/2023/5230/5163/863/7167/2821/5214"	10
"11"	"Neonatos"	"GO:1990830"	"cellular response to leukemia inhibitory factor"	"9/356"	"104/18870"	0.00015567276956635	0.0486520646402438	0.0451628076933721	"8828/10765/3099/8745/3720/10253/55818/5214/4092"	9
"12"	"Neonatos"	"GO:0019320"	"hexose catabolic process"	"6/356"	"44/18870"	0.000166609728943445	0.0486520646402438	0.0451628076933721	"3099/2023/5230/4041/7167/5214"	6
"13"	"Neonatos"	"GO:1990823"	"response to leukemia inhibitory factor"	"9/356"	"106/18870"	0.000180038952554276	0.0486520646402438	0.0451628076933721	"8828/10765/3099/8745/3720/10253/55818/5214/4092"	9
"14"	"Adultos"	"GO:0016064"	"immunoglobulin mediated immune response"	"17/270"	"205/18870"	6.84432019718445e-09	1.25345732816573e-05	1.22796989174881e-05	"3493/3500/3501/3494/28452/3539/3503/28434/28442/28444/3538/3537/28439/28395/3514/10312/28448"	17
"15"	"Adultos"	"GO:0019724"	"B cell mediated immunity"	"17/270"	"208/18870"	8.51822852983844e-09	1.25345732816573e-05	1.22796989174881e-05	"3493/3500/3501/3494/28452/3539/3503/28434/28442/28444/3538/3537/28439/28395/3514/10312/28448"	17
"16"	"Adultos"	"GO:0002377"	"immunoglobulin production"	"15/270"	"196/18870"	1.55054651845361e-07	0.000152108613460299	0.000149015681194541	"28941/28874/28809/28796/28820/28778/28921/28816/28815/28793/28797/28813/28938/28876/28943"	15
"17"	"Adultos"	"GO:0002449"	"lymphocyte mediated immunity"	"20/270"	"368/18870"	3.79042243630561e-07	0.000278880330751185	0.000273209659290554	"3493/3500/3501/114836/3494/28452/3539/3503/28434/28442/28444/3538/3537/28439/28395/3902/3514/10312/3077/28448"	20
"18"	"Adultos"	"GO:0002460"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"20/270"	"380/18870"	6.2829648745104e-07	0.000369815312513682	0.000362295595605979	"3493/3500/3501/114836/3494/6775/28452/3539/3503/28434/28442/28444/3538/3537/28439/28395/3514/10312/3077/28448"	20
"19"	"Adultos"	"GO:0050853"	"B cell receptor signaling pathway"	"9/270"	"77/18870"	1.51803885413932e-06	0.000744598057955338	0.000729457617804843	"3493/3500/3501/3494/596/3539/3503/3537/3514"	9
"20"	"Adultos"	"GO:0002440"	"production of molecular mediator of immune response"	"17/270"	"314/18870"	3.04667470715163e-06	0.00128090909473532	0.00125486346208847	"28941/28874/28809/54/28796/28820/28778/28921/28816/3077/28815/28793/28797/28813/28938/28876/28943"	17
"21"	"Adultos"	"GO:0002443"	"leukocyte mediated immunity"	"21/270"	"466/18870"	3.90731111290642e-06	0.00143740207566045	0.00140817436029614	"8832/3493/3500/3501/114836/3494/28452/3539/3503/28434/28442/28444/3538/3537/28439/28395/3902/3514/10312/3077/28448"	21
"22"	"Adultos"	"GO:0032823"	"regulation of natural killer cell differentiation"	"4/270"	"13/18870"	2.64763273601181e-05	0.00865775904675861	0.00848171469466238	"639/114770/3601/257101"	4
